2023-02-04 08:26:35,465: Fetching Zamorak Stats for Group Size = 3
2023-02-04 11:00:30,646: Total Teams: 7063
2023-02-04 11:00:30,646: Total Unique Players: 5252
+--------------+-------+----------------+
|     Name     | Count | Highest Enrage |
+--------------+-------+----------------+
|    jiahn     |   95  |      4069      |
|     nneo     |   93  |      2000      |
|  No bowske   |   74  |      2000      |
|    AB ED     |   70  |      7500      |
|    Nekiya    |   67  |      500       |
| E O BRAZINO  |   63  |      2000      |
|   Sommeil    |   62  |      4000      |
| Aaron Hunns  |   60  |      7560      |
|   Gravity    |   60  |      7520      |
|  boweotoast  |   59  |      4000      |
|     1054     |   58  |      4054      |
| Ms John Wick |   56  |      1000      |
| prime soul94 |   55  |      7500      |
|  EoFinality  |   55  |      500       |
| Russian Dan  |   53  |      4040      |
|    loftt     |   48  |      2000      |
|     R JS     |   47  |      2000      |
|  Iced Gamer  |   47  |      500       |
|  Bugs Bunny  |   45  |     12230      |
|    Razzi     |   44  |      4020      |
|    jordy     |   44  |      4000      |
|   Goo Ink    |   43  |      500       |
|    Silli     |   42  |     12310      |
|   Joeyhax    |   42  |      4010      |
|    lrisk     |   41  |      7560      |
|    Dr Mad    |   41  |      4000      |
| Black ethot  |   41  |      2010      |
|  Zuncholini  |   41  |      2000      |
|     Raw      |   40  |     13670      |
| Rocket Cars  |   39  |      4000      |
|   Lexa Pro   |   39  |      4000      |
|   Vini bow   |   39  |      560       |
|    Niebla    |   39  |      500       |
|   So Rainy   |   38  |     13670      |
| Farmsnake32  |   38  |      4000      |
|      Ah      |   37  |      4040      |
|   l icy l    |   37  |      4000      |
|    Xomano    |   37  |      1001      |
| ALostStoner  |   37  |      510       |
|  Tree Time   |   36  |      4041      |
|   Learnin    |   36  |      750       |
|   LanceJr    |   35  |      1337      |
|  YourSenpai  |   35  |      300       |
|   Wiz Tot    |   34  |      5000      |
|     Zodo     |   34  |      4000      |
|    Atroz     |   34  |      2000      |
|     Muiz     |   33  |      4080      |
|   Dr Spine   |   33  |      500       |
