2023-02-04 08:26:22,859: Fetching Zamorak Stats for Group Size = 5
2023-02-04 08:37:11,755: Total Teams: 642
2023-02-04 08:37:11,755: Total Unique Players: 1086
+--------------+-------+----------------+
|     Name     | Count | Highest Enrage |
| Warlord Darc |   5   |      400       |
|     R38      |   5   |      340       |
|     Kwe      |   5   |      250       |
|  Dark Fuzz   |   5   |      250       |
|  EoFinality  |   5   |      250       |
| Snedig Kage  |   5   |      200       |
|  Pikskaden   |   5   |      200       |
|  knickerles  |   5   |      200       |
|   nielskuh   |   5   |      200       |
|     Cygs     |   5   |      200       |
| prime soul94 |   4   |      7510      |
|    Prada     |   4   |      2030      |
| Evil Lucario |   4   |      2000      |
| zig zag more |   4   |      1200      |
|   Minstrel   |   4   |      1200      |
|  crime mob   |   4   |      1090      |
|   critless   |   4   |      1090      |
|   Braaten    |   4   |      1020      |
| Cbf Recompin |   4   |      1000      |
|    Fronk     |   4   |      1000      |
| Sticky Mick  |   4   |      1000      |
|     Ab55     |   4   |      1000      |
|   Gravity    |   4   |      1000      |
|    Yickee    |   4   |      850       |
|    Hoobs     |   4   |      800       |
|  RakThalosh  |   4   |      800       |
|    Doufu     |   4   |      750       |
|  Holy Magic  |   4   |      750       |
|  Ehrengurke  |   4   |      750       |
|   Literate   |   4   |      710       |
|    Kayne     |   4   |      600       |
|     sofi     |   4   |      600       |
|    GonJaa    |   4   |      600       |
|    Lazko     |   4   |      600       |
|  Darkology   |   4   |      570       |
|   Memenix    |   4   |      570       |
|   Ando000    |   4   |      570       |
|     E T      |   4   |      510       |
|  KnutInButt  |   4   |      510       |
|   P o k i    |   4   |      502       |
|     Goud     |   4   |      502       |
|   Dr Murse   |   4   |      502       |
|    spite     |   4   |      500       |
|  Sazandora   |   4   |      500       |
| Dxp Fatality |   4   |      500       |
|    WazzaH    |   4   |      500       |
| kystonninen  |   4   |      500       |
|   Jade 15    |   4   |      500       |
|    durrs     |   4   |      500       |
|  Bummy Hobo  |   4   |      500       |
| I Lick Hobos |   4   |      500       |
|   Le Soul    |   4   |      500       |
|     Zodo     |   4   |      500       |
| Walking Dead |   4   |      500       |
|  monkeg222   |   4   |      500       |
|   Memesby    |   4   |      500       |
|  Vile MKII   |   4   |      500       |
|     Rock     |   4   |      500       |
|    Girls     |   4   |      500       |
|    Verlu     |   4   |      500       |
|   Marty I    |   4   |      500       |
|  grim check  |   4   |      500       |
|   Rs Livin   |   4   |      500       |
| unluckygout  |   4   |      450       |
| Bartje00100  |   4   |      420       |
|    Alpii     |   4   |      340       |
|    jiahn     |   4   |      340       |
|  sockfeeder  |   4   |      290       |
|    Jimmie    |   4   |      250       |
|  Ovl golem   |   4   |      210       |
|   CastieI    |   4   |      200       |
|     4min     |   4   |      200       |
|   Zodiac69   |   4   |      200       |
|   Jujuzist   |   4   |      200       |
|  PvM_Follen  |   4   |      200       |
|  Alexandre   |   4   |      180       |
| paddy is baq |   4   |      140       |
|    Putfit    |   4   |      100       |
|   feeding    |   4   |      100       |
| instant sell |   4   |      100       |
|    Meera     |   3   |     10650      |
|    DePose    |   3   |      4000      |
|     Gioe     |   3   |      2000      |
|  RaiseOnce   |   3   |      2000      |
