2023-02-04 08:26:29,096: Fetching Zamorak Stats for Group Size = 4
2023-02-04 08:59:05,266: Total Teams: 1938
2023-02-04 08:59:05,267: Total Unique Players: 2537
+--------------+-------+----------------+
|     Name     | Count | Highest Enrage |
+--------------+-------+----------------+
|     Raw      |   60  |     13650      |
| E O BRAZINO  |   54  |      505       |
|    Xomano    |   43  |      530       |
|  Sejearian   |   42  |     13650      |
|  Bugs Bunny  |   42  |     13620      |
|     R JS     |   40  |      2000      |
|    Silli     |   36  |     13650      |
|   So Rainy   |   35  |     13650      |
|  Teogether   |   34  |      750       |
|   Coldasn    |   29  |      1000      |
|   Vini bow   |   29  |      500       |
|  boweotoast  |   28  |      2010      |
|   Antonin    |   28  |      2000      |
|    jiahn     |   27  |      4069      |
| Iris By GGD  |   27  |      750       |
|    downs     |   26  |      4069      |
| Guilhermeraf |   26  |      505       |
| PizzaCollege |   26  |      500       |
|   stickahs   |   25  |      4069      |
|   XinruiYu   |   25  |      750       |
|  See Me 53   |   25  |      500       |
|    Razzi     |   24  |      2000      |
|     Muiz     |   24  |      2000      |
|     I NK     |   24  |      2000      |
|    Feuer     |   24  |      1000      |
|  Todeswucht  |   24  |      1000      |
| PvM Tolkien  |   24  |      500       |
|   Trololol   |   23  |      2000      |
|  downsyboo   |   22  |      2000      |
| Chaotic Rico |   22  |      2000      |
|   Cue Nick   |   22  |      520       |
| Overprepare  |   22  |      500       |
|    Mofibo    |   22  |      500       |
|  smurfy420   |   22  |      500       |
|   WhoDat29   |   21  |     13550      |
|    Prada     |   21  |      2010      |
|  Nex Appeal  |   21  |      2000      |
|   sh eesh    |   21  |      500       |
| Veryspoonfed |   21  |      500       |
|  EoFinality  |   20  |      460       |
|     Qlhp     |   19  |      7520      |
| Zoheb No DPM |   19  |      1000      |
|     Anez     |   19  |      1000      |
|   Rs Livin   |   18  |      4069      |
|   Sommeil    |   18  |      2000      |
|    loftt     |   18  |      1000      |
| Mia Colucci  |   18  |      530       |
|   Lexa Pro   |   18  |      500       |
|    Lowsak    |   18  |      500       |
|   Zaiimen    |   17  |     13190      |
|  A Poptart   |   17  |      2000      |
|   Wazzapy    |   17  |      750       |
|   Memesby    |   17  |      500       |
|    Meera     |   16  |     10500      |
|     dedi     |   16  |      2000      |
|  PvM_Follen  |   16  |      530       |
|    Gilbo     |   16  |      500       |
|  Pikskaden   |   16  |      500       |
|    Nekiya    |   16  |      200       |
|   caterpii   |   15  |      2000      |
|    Alana     |   15  |      2000      |
|   Keewee07   |   15  |      1900      |
|   brighten   |   15  |      1250      |
| ThicccMuffin |   15  |      750       |
| AgtCodyBankz |   15  |      504       |
|    Downz     |   15  |      500       |
|  Iron Maht   |   15  |      300       |
|      Rc      |   14  |      2010      |
| Walking Dead |   14  |      2010      |
|     Laty     |   14  |      2000      |
| LeonTehSheep |   14  |      1900      |
|  Novability  |   14  |      1000      |
|  No bowske   |   14  |      1000      |
|  Souless911  |   14  |      940       |
| Russian Dan  |   14  |      550       |
|   Fe Rich    |   14  |      520       |
|    Rcm37     |   14  |      500       |
| Snedig Kage  |   14  |      500       |
| Phenom_Iron  |   14  |      250       |
|    Bal jr    |   13  |      4000      |
| Cbf Recompin |   13  |      2000      |
|  Icy Prison  |   13  |      1000      |
|    iRegs     |   13  |      1000      |
|   RsSavage   |   13  |      1000      |
|    Chives    |   13  |      500       |
|  Tuck Felos  |   13  |      500       |
|   ms jenni   |   13  |      500       |
|  Ice Spoon   |   13  |      500       |
|     nneo     |   13  |      100       |
| CharlieBrown |   12  |      4069      |
|  PinkRoses   |   12  |      4000      |
|      Zu      |   12  |      1000      |
|  Ice Habibi  |   12  |      1000      |
|  Brokestra   |   12  |      1000      |
|    Pheeel    |   12  |      550       |
|  Sad Wo lf   |   12  |      530       |
|    latina    |   12  |      500       |
|   Vetelys    |   12  |      500       |
| prime soul94 |   11  |      7520      |
|  Im OliRea   |   11  |      4000      |
|  LongShorts  |   11  |      2000      |
| zig zag more |   11  |      2000      |
|    Hamjug    |   11  |      2000      |
|  God Serena  |   11  |      2000      |
|   Jackle2    |   11  |      1000      |
|  Fire Blows  |   11  |      940       |
|  Gold plzz   |   11  |      750       |
|   Eastyman   |   11  |      670       |
|  Pallomides  |   11  |      510       |
|     4min     |   11  |      504       |
|     zmda     |   11  |      500       |
|  Mack Tiger  |   11  |      500       |
|  Frugal Wiz  |   11  |      300       |
|    AB ED     |   10  |      7520      |
|   Gravity    |   10  |      4000      |
|    Scing     |   10  |      4000      |
|     Arfy     |   10  |      2120      |
|   Le Soul    |   10  |      2010      |
| bitterbetty6 |   10  |      2000      |
|    brods     |   10  |      2000      |
|     RJJC     |   10  |      2000      |
|   Pigssss    |   10  |      1000      |
|    Fronk     |   10  |      1000      |
|  Desertank   |   10  |      580       |
|    69sec     |   10  |      504       |
|    Gettle    |   10  |      500       |
|    Vijal     |   10  |      500       |
| HullupuuroV2 |   10  |      500       |
|   Vorawgo    |   10  |      500       |
| DarthBane IM |   10  |      500       |
|  Aus Entity  |   10  |      500       |
| Bliksem2Bos  |   10  |      500       |
|  TealTomato  |   10  |      300       |
| No idea why  |   10  |      250       |
|     JMJ      |   10  |      200       |
|   Goo Ink    |   10  |      200       |
| Blitzekrieg  |   10  |      200       |
|    Meliwa    |   10  |      150       |
|  Capt Worm   |   9   |     12720      |
|     Iyaz     |   9   |      4069      |
|     1054     |   9   |      4069      |
|   Dunhill    |   9   |      4000      |
|   Syriliic   |   9   |      4000      |
|  Mirakuruuu  |   9   |      2000      |
|    jordy     |   9   |      2000      |
| Sticky Mick  |   9   |      1070      |
|  crime mob   |   9   |      1020      |
|  so pretty   |   9   |      1020      |
| Dxp Fatality |   9   |      1000      |
| Nice Timing  |   9   |      1000      |
|   Sig urd    |   9   |      750       |
|    Yickee    |   9   |      666       |
|     Jeck     |   9   |      550       |
|    Niebla    |   9   |      510       |
|   CalledIt   |   9   |      501       |
|    Huddon    |   9   |      500       |
| duper cheese |   9   |      500       |
|    Fincho    |   9   |      500       |
|   Shnocky    |   9   |      499       |
|   King Sia   |   9   |      420       |
|   SyriIiic   |   9   |      310       |
|  Wha Gwaan   |   9   |      250       |
|     Dmv0     |   9   |      200       |
| Josiel oLvR  |   9   |      200       |
