2023-02-04 13:00:04,764: Total Unique Players: 8447
+--------------+-------+----------------+
|     Name     | Count | Highest Enrage |
|  on flower   |   43  |      501       |
|   Fe Rich    |   43  |      750       |
|   Danchou    |   42  |      4069      |
| J A C K ASS  |   42  |      1000      |
| Avatarhades  |   42  |      4050      |
| Major spoons |   42  |      1000      |
|    kiwie     |   42  |      1000      |
|    2 L T     |   42  |      2000      |
|  Pikskaden   |   42  |      540       |
|  LongShorts  |   42  |      4000      |
| CharlieBrown |   42  |      4069      |
|    H I Q     |   41  |      2030      |
|     earN     |   41  |      1000      |
| ZukDropsPlz  |   41  |      500       |
|    Fronk     |   41  |      2000      |
|  Pallomides  |   41  |      630       |
|   ZIGUESSS   |   40  |      4000      |
|   Lawn Hub   |   40  |      2000      |
| Coder4Coffee |   40  |      2000      |
|   Le Mari    |   40  |      4069      |
|    Ryzey     |   39  |      2000      |
|  Windragon   |   39  |      2000      |
|  Saiten 118  |   39  |      1001      |
|  Left Brain  |   39  |      2030      |
|  aww tissm   |   39  |      2000      |
|    Darxys    |   39  |      750       |
|     RJJC     |   39  |      2000      |
|   papa dor   |   39  |      500       |
|   Eastyman   |   39  |      1220      |
|  Brokestra   |   39  |      2069      |
| Veryspoonfed |   39  |      540       |
|  AVE SATAN   |   38  |      4000      |
|  Fruitiepie  |   38  |      1000      |
| Teemo Broken |   38  |      1000      |
|    Clad4     |   38  |      510       |
|   Zodiac69   |   38  |      504       |
|    Bawker    |   38  |      1000      |
|  Souless911  |   38  |      2000      |
|     JMJ      |   38  |      1000      |
|  Iron Maht   |   38  |      1050      |
|     Iyaz     |   38  |      6969      |
|    Gilbo     |   38  |      2501      |
|   ggurran    |   37  |      6010      |
|   Dye Thot   |   37  |      700       |
|    Exuke1    |   37  |      1080      |
|    Prada     |   37  |      4000      |
|   Vetelys    |   37  |      540       |
|     4min     |   37  |      600       |
|     dedi     |   37  |      2000      |
|     FS0A     |   36  |      1000      |
|   Jujuzist   |   36  |      1000      |
|   F e l e    |   36  |      740       |
|   CalledIt   |   36  |      2000      |
|    Zo op     |   36  |      2000      |
|   RyMy Son   |   36  |      950       |
|    Yickee    |   36  |      4060      |
|    Reeker    |   36  |      500       |
| bitterbetty6 |   36  |      4000      |
|  Robbycool   |   35  |      520       |
|    Baboon    |   35  |      4051      |
|    Du st     |   35  |      2000      |
| HonorTheCall |   35  |      2000      |
|    Mi ke     |   35  |      510       |
|   chr0nus    |   35  |      500       |
|     Spo      |   35  |      2000      |
|    YilaN     |   35  |      4000      |
| ZaddyPandrex |   35  |      590       |
|    brods     |   35  |      4000      |
| DarthBane IM |   35  |      500       |
|  Good Alias  |   34  |      2000      |
|  The Fuzzz   |   34  |      4020      |
|  Sinpay_roi  |   34  |      500       |
|   holy y9    |   34  |      1000      |
|    Scing     |   34  |      4000      |
| Spheniscidae |   34  |      1000      |
|  Desertank   |   34  |      1000      |
| Dxp Fatality |   34  |      2000      |
|    latina    |   34  |      1000      |
|     Arfy     |   34  |      6969      |
|     zmda     |   34  |      4000      |
|  R Greyjoy   |   33  |      1000      |
|  Justifier   |   33  |      4170      |
|   Z A T H    |   33  |      510       |
| Wazzylicious |   33  |      6000      |
|    Karmy     |   33  |      4100      |
|  0 Nothing   |   33  |      2000      |
|     Aude     |   33  |      750       |
| Snedig Kage  |   33  |      540       |
|  Novability  |   33  |      1000      |
|   Keewee07   |   33  |      2000      |
|     c4r5     |   32  |      1130      |
| Wild kyogre  |   32  |      500       |
|     Eskl     |   32  |      4010      |
|    Midd14    |   32  |      1000      |
| Moisturising |   32  |      4000      |
|  Skystriker  |   32  |      4001      |
| CumHydrated  |   32  |      510       |
|   Schrimpi   |   32  |      4000      |
| Army Deluxe  |   32  |      2000      |
|    Ace D     |   32  |      600       |
|    Kyaki     |   32  |      500       |
|  Dunning007  |   32  |      500       |
|    Fincho    |   32  |      1340      |
|    Downz     |   32  |      500       |
| LeonTehSheep |   32  |      2000      |
|   DudeMenn   |   31  |      1000      |
|    Clucks    |   31  |      4070      |
|    Olixuu    |   31  |      4030      |
|   Whim Btw   |   31  |      4070      |
|  Jermaine24  |   31  |      4000      |
|    x Jay     |   31  |      4000      |
|    g0att     |   31  |      4010      |
| Hench Sheep  |   31  |      870       |
| USSR Potazo  |   31  |      2000      |
|    IM Ram    |   31  |      750       |
|  Eva Alfie   |   31  |      620       |
|   Crickets   |   31  |      4070      |
|     afk      |   31  |      4050      |
|   Lallelal   |   31  |      4000      |
| kystonninen  |   31  |      2000      |
|  Last-twist  |   31  |      4000      |
| Beastmaster  |   31  |      850       |
|    Im Mo     |   31  |      1000      |
|  Archernix   |   31  |      1000      |
|   Vorawgo    |   31  |      1000      |
| incompretend |   31  |      4030      |
| sword piece  |   31  |      4000      |
|   iTz ReD    |   31  |      1000      |
|    Meliwa    |   31  |      500       |
| Nice Timing  |   31  |      2000      |
|    Ayumu     |   31  |      4000      |
| Josiel oLvR  |   31  |      500       |
|  Toxic Tony  |   30  |      500       |
|  Faceprobs7  |   30  |      4000      |
|   Nemoriae   |   30  |      500       |
|     Alan     |   30  |      4000      |
|   Qwertx07   |   30  |      500       |
|   nullgpt    |   30  |      2050      |
|  Sheepswag   |   30  |      800       |
|   critless   |   30  |      4000      |
|  so pretty   |   30  |      1110      |
|  PinkRoses   |   30  |      4000      |
|   growl s    |   30  |      2000      |
|   Lu Kayin   |   30  |      800       |
|   King Sia   |   30  |      500       |
|  Tuck Felos  |   30  |      510       |
|   M A F O    |   29  |      500       |
| Pyrrhic Win  |   29  |      500       |
|  Onyx guard  |   29  |      1000      |
|    Z ata     |   29  |      4210      |
| Monster Tabz |   29  |      890       |
| NoxiousMinds |   29  |      4000      |
| T R I N I TY |   29  |      500       |
|     Tixe     |   29  |      560       |
|    An Avo    |   29  |      640       |
|  Manlydied   |   29  |      4010      |
|  Fire Blows  |   29  |      2000      |
| Patryk11761  |   29  |      620       |
| silverzyrux  |   29  |      4130      |
| Salty Seals  |   29  |      4000      |
| I am Araxxor |   29  |      510       |
| shut up dumb |   29  |      1040      |
| Mr Branbran  |   29  |      4010      |
|  lil virtus  |   29  |      840       |
|    shelly    |   29  |      500       |
|   Biscuits   |   29  |      2000      |
| Clay Jensen  |   29  |      560       |
|    Clouwd    |   29  |      500       |
| T0XIC SHADOW |   29  |      890       |
|    Meera     |   29  |     10650      |
|   Sig urd    |   29  |      4030      |
| Blitzekrieg  |   29  |      500       |
| losst loofa  |   28  |      310       |
|   Mogardie   |   28  |      2000      |
| El Sadge Rs  |   28  |      590       |
|  Mr DrBrick  |   28  |      1000      |
|   Phe0niX    |   28  |      2000      |
|  Vesilasi13  |   28  |      4000      |
|    Quinja    |   28  |      1000      |
|    Slads     |   28  |      2000      |
|   ognkrs3    |   28  |      500       |
|     Glue     |   28  |      6010      |
|    Giguh     |   28  |      2000      |
|  DeadRadar   |   28  |      1220      |
|  ThroatMage  |   28  |      540       |
|  Zammo rak   |   28  |      530       |
|  Newb Cube   |   28  |      1020      |
| sick phukka  |   28  |      660       |
|  Holy Magic  |   28  |      1000      |
|  sup fella   |   28  |      1000      |
| DangerNoodlz |   28  |      760       |
| HullupuuroV2 |   28  |      540       |
|  BlackFrogz  |   28  |      4040      |
| Sticky Mick  |   28  |      1070      |
|   Shnocky    |   28  |      890       |
|   swamplet   |   28  |      600       |
|  Bummy Hobo  |   28  |      1000      |
|  crime mob   |   28  |      4000      |
|    Hamjug    |   28  |      2000      |
| Bliksem2Bos  |   28  |      570       |
|  Capt Worm   |   28  |     13600      |
|   Pigssss    |   28  |      4000      |
|  Mack Tiger  |   28  |      760       |
| Frozen Spuds |   28  |      630       |
|   Sak ura    |   27  |      2000      |
| Anubisflower |   27  |      1000      |
|  BatwingBoy  |   27  |      500       |
| TheBotFather |   27  |      500       |
|  Gymmonkee   |   27  |      750       |
|    Pixzle    |   27  |      580       |
| Egg Waffles  |   27  |      2010      |
| King Geordie |   27  |      4000      |
|     sh9      |   27  |      4001      |
|   Samuell    |   27  |      2000      |
|     Z28      |   27  |      4001      |
|    Isacan    |   27  |      1000      |
|   Mostima    |   27  |      560       |
| veng3nce O_o |   27  |      700       |
| LordSalsicha |   27  |      590       |
|   Racoonz2   |   27  |      790       |
| Chonky Milo  |   27  |      500       |
|    V init    |   27  |      320       |
|   Jackle2    |   27  |      1000      |
|  Mr Keiser   |   27  |      1000      |
|  sockfeeder  |   27  |      1250      |
