2023-02-04 08:26:45,006: Fetching Zamorak Stats for Group Size = 2
2023-02-04 12:56:31,994: Total Teams: 11453
2023-02-04 12:56:31,994: Total Unique Players: 7346
+--------------+-------+----------------+
|     Name     | Count | Highest Enrage |
+--------------+-------+----------------+
| Half_Life16  |   89  |      4010      |
|    AB ED     |   86  |      4021      |
|  ARAND0MGUY  |   73  |      1110      |
|  Tree Time   |   66  |      2010      |
|   LanceJr    |   65  |      2069      |
| Ms John Wick |   63  |      1000      |
|    Niebla    |   60  |      2000      |
| Hero0fLight  |   58  |      4120      |
|    ahihcU    |   53  |      1000      |
|    Nekiya    |   52  |      760       |
|   im chris   |   52  |      501       |
|    Sidgi     |   46  |      1000      |
|    Cengiz    |   45  |      1000      |
|     nneo     |   45  |      770       |
|  No bowske   |   44  |      1000      |
|  Adonizyzz   |   44  |      350       |
| ALostStoner  |   42  |      570       |
|   Betonno    |   41  |      520       |
|    Amazes    |   40  |      2000      |
|    wonjy     |   40  |      500       |
|   So Rainy   |   39  |     13630      |
| Black ethot  |   39  |      2020      |
|   xVerdant   |   37  |      2000      |
|  Shadesmar   |   36  |      1000      |
| xxantxx1 v2  |   36  |      650       |
|  Grand Dsos  |   35  |      4130      |
| prime soul94 |   35  |      4010      |
| Cookie of St |   35  |      1000      |
|   Danchou    |   35  |      1000      |
| ShadowTHUNDR |   34  |      2000      |
|  MayorMojo   |   34  |      2000      |
|   Fres Nub   |   34  |      550       |
|  AVE SATAN   |   33  |      1000      |
|  Maskueico   |   32  |      4000      |
|  R Greyjoy   |   32  |      1000      |
|    pjgyth    |   32  |      520       |
|  Robbycool   |   32  |      520       |
|  Lyons Tea   |   32  |      500       |
|  Iced Gamer  |   31  |      4000      |
|     s5s      |   30  |      1000      |
| Draconblade  |   30  |      1000      |
| Panni kutty  |   30  |      500       |
|   Gravity    |   29  |      7510      |
|   Joeyhax    |   29  |      2010      |
|  Good Alias  |   29  |      2000      |
|  revo rowan  |   28  |      2000      |
|  Pork Rinds  |   28  |      1300      |
|   ZIGUESSS   |   27  |      4000      |
| No idea why  |   27  |      520       |
| J A C K ASS  |   27  |      500       |
| Aaron Hunns  |   26  |      7550      |
|  The Fuzzz   |   26  |      4020      |
|   Nibor175   |   26  |      2040      |
|    Cetjex    |   26  |      1010      |
|  Sinpay_roi  |   26  |      500       |
|    Dr Mad    |   25  |      4210      |
|    jordy     |   25  |      2000      |
|   Succeed    |   25  |      2000      |
|    WazzaH    |   25  |      1000      |
|   holy y9    |   25  |      590       |
|    loftt     |   24  |      4020      |
|   Wiz Tot    |   24  |      3860      |
|  boweotoast  |   24  |      2020      |
|  SaintPownd  |   24  |      1000      |
| Farmsnake32  |   24  |      500       |
| losst loofa  |   24  |      310       |
|  DumbNasty   |   24  |      200       |
|     Ze x     |   23  |      4000      |
| Daddy Crits  |   23  |      2010      |
|    Ryzey     |   23  |      2000      |
|   DudeMenn   |   23  |      1000      |
|    x y z     |   23  |      500       |
|   M A F O    |   23  |      500       |
|    jiahn     |   22  |      6969      |
|  Ice Spoon   |   22  |      1000      |
|   Im Rami    |   22  |      590       |
| Risen Woodz  |   22  |      590       |
| E O BRAZINO  |   22  |      507       |
|  Justifier   |   22  |      500       |
| Pyrrhic Win  |   22  |      250       |
| xEpic_FailZz |   22  |      200       |
|    Bal jr    |   21  |      3990      |
|     1054     |   21  |      2000      |
|  Windragon   |   21  |      2000      |
|   Mogardie   |   21  |      2000      |
|    Baboon    |   21  |      2000      |
|  Fruitiepie  |   21  |      1000      |
|     FS0A     |   21  |      500       |
|   Jujuzist   |   21  |      200       |
|  l e g o s   |   20  |      4010      |
|    Clucks    |   20  |      2030      |
|   Sak ura    |   20  |      2000      |
|    Alana     |   20  |      2000      |
|     c4r5     |   20  |      1130      |
|   Dr Spine   |   20  |      1000      |
| TurBoTorNaDo |   20  |      1000      |
|  Onyx guard  |   20  |      1000      |
|   Crunked1   |   20  |      1000      |
| El Sadge Rs  |   20  |      590       |
|  Mr DrBrick  |   20  |      500       |
|   kera-kun   |   20  |      500       |
|     7VS      |   20  |      500       |
| Wild kyogre  |   20  |      500       |
|     ZPvM     |   20  |      500       |
|    Z ata     |   19  |      4210      |
| Avatarhades  |   19  |      4050      |
| Mia Colucci  |   19  |      4012      |
|    Atroz     |   19  |      4000      |
|    H I Q     |   19  |      2030      |
|   Lawn Hub   |   19  |      2000      |
|    Lowsak    |   19  |      1140      |
|   Mr Slay    |   19  |      1000      |
| Teemo Broken |   19  |      1000      |
|  camdawg202  |   19  |      580       |
|  Jeeba boy   |   19  |      540       |
| Guilhermeraf |   19  |      502       |
|   Perfecto   |   19  |      500       |
|   Stop602    |   19  |      500       |
|  Toxic Tony  |   19  |      500       |
|    kyroh     |   18  |      4450      |
|  Faceprobs7  |   18  |      4000      |
|   Midor_i    |   18  |      4000      |
| King Timaeus |   18  |      980       |
| Monster Tabz |   18  |      890       |
|  EoFinality  |   18  |      750       |
| Holywarrior  |   18  |      500       |
|    DmanXD    |   18  |      200       |
|     Qlhp     |   17  |      4069      |
|    Olixuu    |   17  |      4030      |
|  Gentledan   |   17  |      4000      |
|     Eskl     |   17  |      4000      |
| NoxiousMinds |   17  |      2010      |
|      Ah      |   17  |      2000      |
|  grim check  |   17  |      2000      |
|   Phe0niX    |   17  |      2000      |
|     Srep     |   17  |      1150      |
|  Saiten 118  |   17  |      1001      |
|  Zuncholini  |   17  |      1000      |
|    Midd14    |   17  |      1000      |
|   Learnin    |   17  |      750       |
| Anubisflower |   17  |      750       |
|  PvM_Follen  |   17  |      600       |
| Blood Prism  |   17  |      560       |
|   Z A T H    |   17  |      510       |
| WeebWetLips  |   17  |      500       |
|  Vesilasi13  |   16  |      4000      |
|   Kuningas   |   16  |      4000      |
|  Immortino   |   16  |      4000      |
|   l icy l    |   16  |      2022      |
| Rocket Cars  |   16  |      2000      |
|     Zodo     |   16  |      2000      |
|   Batatoon   |   16  |      2000      |
|   Yazhgarr   |   16  |      1300      |
|    Quinja    |   16  |      1000      |
|     earN     |   16  |      1000      |
|  SuparNova   |   16  |      700       |
|   Sommeil    |   16  |      630       |
|     Ri q     |   16  |      519       |
|    Du st     |   16  |      510       |
| ZukDropsPlz  |   16  |      500       |
| Begone Thok  |   16  |      500       |
|   Nemoriae   |   16  |      500       |
| T R I N I TY |   16  |      500       |
|   Vini bow   |   16  |      500       |
|  Bugs Bunny  |   15  |     12000      |
|     Raw      |   15  |      9900      |
|   Spawning   |   15  |      7530      |
|   ggurran    |   15  |      6010      |
|    Razzi     |   15  |      4100      |
| Moisturising |   15  |      4000      |
|   Coldasn    |   15  |      4000      |
|   Whim Btw   |   15  |      2350      |
|  Jermaine24  |   15  |      2020      |
|    x Jay     |   15  |      2000      |
| instant sell |   15  |      2000      |
|   RsSavage   |   15  |      2000      |
|     Yai      |   15  |      1010      |
| Major spoons |   15  |      1000      |
|  Derp Daddy  |   15  |      1000      |
|   Laskari2   |   15  |      780       |
|  Skystriker  |   15  |      780       |
| Zoheb No DPM |   15  |      680       |
| HonorTheCall |   15  |      651       |
| Emperor Bozz |   15  |      650       |
|     Laz      |   15  |      600       |
|     Aht      |   15  |      570       |
|   suugataa   |   15  |      530       |
|  smurfy420   |   15  |      520       |
| OMG Its John |   15  |      500       |
|    Mi ke     |   15  |      500       |
| CumHydrated  |   15  |      500       |
|  BatwingBoy  |   15  |      500       |
|  A Accident  |   15  |      500       |
|  Merideous   |   15  |      300       |
|   Rs Livin   |   14  |      4030      |
|    g0att     |   14  |      4010      |
| Barrows rots |   14  |      4000      |
|  The RS Guy  |   14  |      4000      |
|    Lazir     |   14  |      4000      |
|  Left Brain  |   14  |      2030      |
|     ar c     |   14  |      2020      |
| LittlePk Br  |   14  |      2000      |
|     R JS     |   14  |      2000      |
|   Nippy_s    |   14  |      2000      |
|  Zuk Hugga   |   14  |      2000      |
|    35 ant    |   14  |      2000      |
|   ms jenni   |   14  |      2000      |
|  aww tissm   |   14  |      2000      |
|   Caranan    |   14  |      1040      |
|    Slads     |   14  |      1000      |
|    kiwie     |   14  |      1000      |
|   jacky c8   |   14  |      1000      |
|   helektro   |   14  |      1000      |
| Hench Sheep  |   14  |      870       |
|    Darxys    |   14  |      750       |
|   Dye Thot   |   14  |      700       |
| PizzaCollege |   14  |      700       |
| Titanium Log |   14  |      650       |
|    Nami x    |   14  |      580       |
|  Only Dylan  |   14  |      520       |
|  Kipburger   |   14  |      501       |
| IronArchive  |   14  |      500       |
|  Moistman5   |   14  |      500       |
|    Clad4     |   14  |      500       |
|   chr0nus    |   14  |      500       |
| TheBotFather |   14  |      500       |
|   TonyX69X   |   14  |      500       |
|  chikis0023  |   14  |      500       |
|  just Zuko   |   14  |      300       |
|   ognkrs3    |   14  |      300       |
|  Sejearian   |   13  |     13630      |
|    lrisk     |   13  |      7540      |
|      Rc      |   13  |      6969      |
|  Mini Lenn   |   13  |      4520      |
| Azur3 Slash  |   13  |      4000      |
|     Alan     |   13  |      4000      |
| JewzillaYUM  |   13  |      2010      |
|    Dave J    |   13  |      2000      |
|   marked56   |   13  |      2000      |
|    2 L T     |   13  |      2000      |
| NexOffender  |   13  |      1300      |
|    69sec     |   13  |      1000      |
|  Kenny2good  |   13  |      1000      |
|  muppmongo   |   13  |      1000      |
|   Y0ungDon   |   13  |      810       |
|    Kamesh    |   13  |      750       |
|  Gymmonkee   |   13  |      750       |
|   F e l e    |   13  |      700       |
| DanTheSpoon  |   13  |      660       |
|    Pixzle    |   13  |      580       |
|     Tixe     |   13  |      560       |
|   Shavar50   |   13  |      560       |
|  Top1Toxic   |   13  |      510       |
| Ponkey Dunch |   13  |      500       |
| Ali Da Jelly |   13  |      500       |
|   Zodiac69   |   13  |      500       |
|  Toro Man 9  |   13  |      500       |
|   Goo Ink    |   13  |      300       |
|  RitualFire  |   13  |      300       |
|   Qwertx07   |   13  |      200       |
|  Swift uwu   |   12  |      7680      |
| Wazzylicious |   12  |      6000      |
|    Karmy     |   12  |      4100      |
|    Kixtie    |   12  |      4030      |
| Walking Dead |   12  |      2010      |
| Egg Waffles  |   12  |      2010      |
| USSR Potazo  |   12  |      2000      |
|  0 Nothing   |   12  |      2000      |
|  monkeg222   |   12  |      1100      |
|  Icy Prison  |   12  |      1000      |
|  HpWarrior   |   12  |      1000      |
|     Spo      |   12  |      1000      |
|   Shuunsui   |   12  |      1000      |
|   Cynthiaa   |   12  |      1000      |
| Enemy Inside |   12  |      770       |
|    An Avo    |   12  |      640       |
|  Greg Flea   |   12  |      600       |
|    Bawker    |   12  |      600       |
| Raxxi D Ace  |   12  |      590       |
|  devillonne  |   12  |      520       |
|  Octillion   |   12  |      500       |
|  no sinner   |   12  |      500       |
| Chipbighead  |   12  |      500       |
|  zapzilla12  |   12  |      300       |
|  Dragon Buu  |   12  |      200       |
|  on flower   |   12  |      100       |
|    Silli     |   11  |     12000      |
|     rago     |   11  |      7650      |
|      Zu      |   11  |      6969      |
|     Glue     |   11  |      6010      |
|  Manlydied   |   11  |      4010      |
|    S hadw    |   11  |      4000      |
|     Ghp      |   11  |      4000      |
| King Geordie |   11  |      3990      |
|    Giguh     |   11  |      2000      |
|  Fire Blows  |   11  |      2000      |
| Coder4Coffee |   11  |      2000      |
|   H4nd1cap   |   11  |      2000      |
|    Xomano    |   11  |      2000      |
|  DeadRadar   |   11  |      1220      |
|   Githoro    |   11  |      1140      |
| BEER IN SLOT |   11  |      1010      |
|    Keez12    |   11  |      1009      |
| Green Raikou |   11  |      1000      |
|  lovestruck  |   11  |      1000      |
|   Antonin    |   11  |      1000      |
|     mgls     |   11  |      1000      |
|   Mr Helly   |   11  |      1000      |
|    Daced     |   11  |      1000      |
|    fiili     |   11  |      1000      |
|     Grg      |   11  |      1000      |
|  Teogether   |   11  |      1000      |
|   YCRYMORE   |   11  |      780       |
|    IM Ram    |   11  |      750       |
| AgtCodyBankz |   11  |      750       |
|   Vivera99   |   11  |      700       |
|  Eva Alfie   |   11  |      600       |
|   Sidonha    |   11  |      600       |
|  fsoa spec   |   11  |      560       |
| Sir Derather |   11  |      550       |
| nostr def99  |   11  |      540       |
|  ThroatMage  |   11  |      540       |
|   Humundy    |   11  |      520       |
|     shwt     |   11  |      511       |
|   Sontoty    |   11  |      500       |
|  Deaf Pvmer  |   11  |      500       |
|    JUMP o    |   11  |      500       |
|   M R O B    |   11  |      500       |
|  Corrupting  |   11  |      500       |
| Jolly Snakes |   11  |      500       |
|  Lucky Mian  |   11  |      500       |
|   Sonic H5   |   11  |      500       |
|  o skilz o   |   11  |      360       |
|   Crickets   |   10  |      4070      |
|     afk      |   10  |      4050      |
|  Slain Aura  |   10  |      4010      |
|     sh9      |   10  |      4001      |
| Bottomin Out |   10  |      4000      |
|  wtf pengu   |   10  |      4000      |
|   Leeeboo    |   10  |      4000      |
|  yearlykiwi  |   10  |      2069      |
|     BFMV     |   10  |      2050      |
|  Ducklings   |   10  |      2020      |
|  Ice Habibi  |   10  |      2010      |
|    iRegs     |   10  |      2010      |
|   Lallelal   |   10  |      2000      |
|  Mirakuruuu  |   10  |      2000      |
| kystonninen  |   10  |      2000      |
|    Splen     |   10  |      2000      |
|     Muiz     |   10  |      2000      |
|   CalledIt   |   10  |      2000      |
|  Souless911  |   10  |      2000      |
|  justacutie  |   10  |      2000      |
|    Zo op     |   10  |      2000      |
|   Sabaton    |   10  |      1790      |
| WetCreamyPie |   10  |      1490      |
|    Debuff    |   10  |      1150      |
|   Le Mari    |   10  |      1080      |
|   Lexa Pro   |   10  |      1000      |
|  Corn Pops   |   10  |      1000      |
|     Sutr     |   10  |      1000      |
|  WhiteTiger  |   10  |      1000      |
|  Not Vicky   |   10  |      1000      |
|   GPerico    |   10  |      1000      |
|   Ottfan1    |   10  |      1000      |
| Northsydeson |   10  |      1000      |
|   Seahawks   |   10  |      830       |
|     Bikt     |   10  |      830       |
|   Mortall    |   10  |      830       |
|  Solaks Bae  |   10  |      810       |
| Remington768 |   10  |      740       |
|  See Me 53   |   10  |      700       |
| PuddleSnake  |   10  |      660       |
| Patryk11761  |   10  |      620       |
|   DriusNyc   |   10  |      600       |
|   Ten Bag    |   10  |      530       |
|   backbeam   |   10  |      504       |
|   Dunhill    |   10  |      500       |
|    Haram     |   10  |      500       |
|  Zammo rak   |   10  |      500       |
|    iGUNKi    |   10  |      500       |
|  MagoBurro   |   10  |      500       |
|  Decimation  |   10  |      500       |
| Sweet Chilly |   10  |      500       |
|  Not Pengu   |   10  |      500       |
| SAINTxBLOOD  |   10  |      500       |
|    Cmarie    |   10  |      500       |
| Sweaty Betty |   10  |      500       |
|   Zed Raze   |   10  |      500       |
|   Bushy Z    |   10  |      500       |
|   Zingstah   |   10  |      420       |
| Am 1hitk0ed  |   10  |      300       |
| Kun Fo Panda |   10  |      300       |
| MONEYMAN305  |   10  |      300       |
|    HoAxB     |   10  |      300       |
|   Rowan131   |   10  |      300       |
|   Zipzzap    |   10  |      290       |
|   Sindiro    |   10  |      200       |
|   datwho92   |   9   |      6969      |
|   Zaiimen    |   9   |      5830      |
| silverzyrux  |   9   |      4130      |
| SmexyLonely  |   9   |      4060      |
| Russian Dan  |   9   |      4030      |
|   Justin 0   |   9   |      4021      |
|    downs     |   9   |      4000      |
|    Kitten    |   9   |      4000      |
|   Schrimpi   |   9   |      4000      |
|   nullgpt    |   9   |      2040      |
|    YilaN     |   9   |      2022      |
| Qc Brichkof  |   9   |      2000      |
|   Zephilip   |   9   |      2000      |
|    Scing     |   9   |      2000      |
|  Last-twist  |   9   |      2000      |
